"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,
Use Case Name,Bureau/Component,Should this AI use case be withheld from public reporting?,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency’s mission and/or the general public?,Describe the AI system’s outputs.,Date when AI use case became operational or the pilot’s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to  train, fine-tune, and/or  evaluate performance of the  model(s) used in this use  case.","If the data is required to be  publicly disclosed as an  open government data asset,  provide a link to the entry on the Federal Data Catalog.",Does this AI use case  involve personally  identifiable information (PII)  that is maintained by the  agency?,"If publicly available, provide  the link to the AI use case’s associated Privacy Impact Assessment (PIA).","Which, if any, demographic  variables does the AI use  case explicitly use as model  features?",Does this project include  custom-developed code?,"If the code is open source, provide the link for the  publicly available source  code.","Has pre-deployment testing been conducted for this AI  use case? 




Practice: Complete AI Impact Assessment","Has an AI impact assessment been completed for this AI use case? 



Practice: Complete AI Impact Assessment","What are the potential  impacts of using the AI for  this particular use case and  how were they identified?    



Subpractice: Complete AI  Impact Assessment","Has as independent review  of the AI use case been  conducted?    




Sub practice Complete AI  Impact Assessment","Is there a process to conduct
ongoing monitoring to
identify any adverse impacts
to the performance and
security of the AI functionality, as well as to privacy, civil rights, and civil liberties?

Practice: Conduct Ongoing Monitoring for Performance and P","Has the agency established sufficient and periodic  training for operators of the  AI to interpret and act on the  its output and managed associated risks?


Practice: Ensure Adequate Human Training and Assessment","Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?





Practice: Provide Additional Human Oversight, Intervention, and Accountability","Is there an established appeal process in the event that an impacted individual would like to appeal or  contest the AI system’s  outcome?


Practice: Offer Consistent Remedies or Appeals","What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?




Practice: Consult and Incorporate Feedback from End Users and the Public"
Insight,"Chief Information Officer, Disability Information Systems",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Government Benefits Processing,Classical/Predictive Machine Learning,"This AI use case is decision support software used by hearings and appeals-level Disability Program adjudicators to help maximize the quality, speed, and consistency of their decision making.  The use case analyzes the free text of disability decisions and other case data to offer adjudicators real-time alerts on potential quality issues and case-specific reference information within a web application.  The use case increases decision quality and reduces human error.",The use case increases decision quality and reduces human error.,"Insight provides 43 Quality flags, when raised, indicating various inconsistencies, omissions, or Policy non-compliant conditions that exist in the disability decision. ",10/1/2017 0:00,b) Developed in-house,,Yes,Insight,Manually curated data sets based on random sampling methodology of hearing and appeals case processing management information,,Yes,,None,Yes,,,,,,,,,,
Intelligent Medical Language Analysis Generation (IMAGEN),"Chief Information Officer, Disability Information Systems",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact,,Government Benefits Processing,Classical/Predictive Machine Learning,"This AI use case helps employees visualize, search, and more easily identify relevant clinical content in medical records.  The use case improves efficiency and accuracy of disability determinations/decisions.",The use case improves efficiency and accuracy,"Document annotations on medical records to aid in navigation such as identifying patient encounters, tests, dates, and other relevant information. Possible impairment and SSA Medical Listing Codes are also identified. ",8/20/2021 0:00,b) Developed in-house,,Yes,IMAGEN,Historically adjudicated disability claims and outcomes. Manually annotated documents,,Yes,,c) Age,Yes,,a) Yes,a) Yes,"The risks include overreliance on system-generated findings and possible misinterpretation of results due to system limitations. These impacts were identified through collaborative team discussions, manual case reviews, user feedback, and ongoing monitoring of system performance and usage. The assessment process included evaluating known limitations, potential harms, and failure modes. However, notably, the system never suggests an adverse outcome for a disability determination. ",c) Yes – by the CAIO ,a) Yes; sufficient monitoring protocols have been established,a) Yes; sufficient and periodic training has been established,a) Yes  ,b) Not applicable, d) Other
Duplicate Identification Process,Chief Information Officer,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Government Benefits Processing,Classical/Predictive Machine Learning,"This AI use case identifies, flags, and marks duplicates, reducing the amount of time spent to review cases for hearings.",The use case improves efficiency and accuracy of disability determinations/decisions.,"This AI use case identifies, flags, and marks duplicates, reducing the amount of time spent to review cases for hearings.",9/1/2019 0:00,a) Purchased from a vendor,Hyperscience,Yes,DIP,No Agency data used for training,,Yes,,None,No,,,,,,,,,,
Handwriting Recognition of Forms; Intelligent Document Processing Platform - Forms Classification and Data Extraction ,Chief Information Officer,a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Government Benefits Processing,Computer Vision,"This AI use case classify, identify and extract structured, semi-structured forms containing printed and handwritten fields. The use case increases automation, reduces clerical errors and reduces customer wait times.",The use case improves efficiency and accuracy,The output of extracted data fields on the form is represented in JSON format that can be available to downstream systems using API and through other integration mechanism such as queues.,1/2/2021 0:00,a) Purchased from a vendor,Hyperscience,Yes,"Form Data Extraction

",No Agency data used for training,,Yes,,None,No,,,,,,,,,,
Modernized Development Worksheet (MDW),"Chief Information Officer, Analytics and Improvements",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Government Benefits Processing,Classical/Predictive Machine Learning,This AI use case reviews data during case development so it can be better categorized. The use case reduces processing time and customer wait times.,Reduce considerable workloads from the Processing Centers by eliminating the manual categorization of MDWs ,Labels and categorizes new or updated MDW requests,12/1/2023 0:00,b) Developed in-house,,No,MDW using Natural Language Processing (NLP),Model trained from case development worksheets prepared by SSA employees.,No,Yes,No,k) None of the above,Yes,No,,,,,,,,,
Pre-Effectuation Review (PER) / Targeted Denial Review (TDR) Models,"Chief Information Officer, Analytics and Improvements",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact,,Government Benefits Processing,Classical/Predictive Machine Learning,This AI use case identifies high likelihood of error in certain claims and refers them for review. This use case reduces incorrect benefits payment.,"Pre-Effectuation Review (PER) and Targeted Denial Review (TDR) benefit public, taxpayers, and claimants in ensuring that SSA provides benefits for those who qualify for benefits based on the SSA policy and guidelines. ",Probability scores via an in-line mainframe process,12/1/2003 0:00,b) Developed in-house,,No,PER TDR,"Models use administrative data for Title II (retirement, survivors, and disability benefits) and Title XVI (Supplemental Security Income) programs including form SSA-831 (Disability Determination and Transmittal) data.  ",It is not publicly disclosed.  ,Yes,N/A,c) Age,No,No,a) Yes,a) Yes,False positives for the models may impact a claimant's accurate processing of their application.  Ideally we would like only those qualifying for benefits should get on and remain on the rolls. ,c) Yes – by the CAIO ,a) Yes; sufficient monitoring protocols have been established,a) Yes; sufficient and periodic training has been established,b) Not applicable,"a) Yes; an appropriate appeal process has been established


", d) Other
Continuing Disability Review Model,"Chief Information Officer, Analytics and Improvements",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact,,Government Benefits Processing,Classical/Predictive Machine Learning,This AI use case identifies disability cases with the greatest likelihood of medical improvement and flag them for a continuing disability review to improve the accuracy of program administration.,Improving accurate claim processing: ensuring that only those who qualify for benefits remain on the rolls. ,"The system outputs numerical scores for each case: the score represents the likelihood of medical improvement. The probabilities are binned according to low, medium, or high. ",9/30/2023 0:00,b) Developed in-house,,No,CDR,"Model used data from disability program data sets including Master Beneficiary Record (MBR) and Supplemental Security Record (SSR).  In addition for Title II (retirement, survivors, and disability benefits) models health data from Centers for Medicare and Medicaid Services (CMS) is utilized. ",Not required,Yes,N/A,c) Age,Yes,N/A,a) Yes,a) Yes,Improving accuracy in Continuing Disability Review (CDR) processing and in the long run improving accurate SSA program administration ensuring only those who qualify for benefits remain on the rolls and are paid accurate amounts for benefits.,c) Yes – by the CAIO ,a) Yes; sufficient monitoring protocols have been established,a) Yes; sufficient and periodic training has been established,a) Yes  ,"a) Yes; an appropriate appeal process has been established


", d) Other
Social Security Income (SSI) Redetermination Model,"Chief Information Officer, Analytics and Improvements",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact,,Government Benefits Processing,Classical/Predictive Machine Learning,This AI use case identifies SSI overpayment cases that have highest expected overpayments for review.,Helps prioritize important program activities and contributes to overall public program efficiency and effectiveness.,"The system outputs numerical scores for individuals, comprised of likelihood and amount of overpayment. ",1/1/1999 0:00,b) Developed in-house,,No,SSIRZ,Model used data from SSI Redetermination Data Sets,,Yes,,None,Yes,,a) Yes,a) Yes,"Prioritizes SSI Discretionary Non-Medical Redeterminations; maximizes overpayment preventions and recoveries leading to greater programmatic overpayment preventions and recoveries compared to random selection of cases for non-medical redetermination.? 

Discretionary redeterminations are conducted at scheduled intervals (typically every 1 to 6 years) to review a recipient’s nonmedical SSI eligibility factors (for example, income, resources, living arrangements) to determine whether the recipient is still eligible for SSI and is receiving the correct payment amount. By contrast, non-discretionary redeterminations are triggered by significant life changes (for example, turning 18 years of age, marriage).

Redeterminations are distinct from disability reviews, which focus solely on the medical qualifications of individuals receiving benefits.",c) Yes – by the CAIO ,a) Yes; sufficient monitoring protocols have been established,a) Yes; sufficient and periodic training has been established,a) Yes  ,b) Not applicable, d) Other
Proactive Triage and Analysis of Hearings (PATH),"Chief Information Officer, Analytics and Improvements",a) No,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact,,Government Benefits Processing,Classical/Predictive Machine Learning,This AI use case flags high likelihood favorable claims and refers them to human adjudicators for further review to determine eligibility for on-the-record hearing decisions.,"The use case improves case flow, speeds up eligibility decision, increases consistency and accuracy, and provides better service to the public.",The system outputs sorted case listings based on likelihood of favorable hearing decision.,11/1/2024 0:00,b) Developed in-house,,No,PATH,Model used data from disability program data sets,,Yes,,"c) Age
e) Socioeconomic Status",Yes,,a) Yes,a) Yes,"The positive impacts (faster eligibility decisions, reduce backlog, more efficient), and the negative impacts (risk of model misclassification, risk of demographic bias, transparency) were identified through model evaluation, fairness testing, human review",c) Yes – by the CAIO ,a) Yes; sufficient monitoring protocols have been established,a) Yes; sufficient and periodic training has been established,a) Yes  ,b) Not applicable, d) Other
