Use Case Name,Bureau/Component,Email Address,Should this AI use case be withheld from public reporting?,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency�s mission and/or the general public?,Describe the AI system�s outputs.,Date when AI use case became operational or the pilot�s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case�s associated Privacy Impact Assessment (PIA).","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code?,"If the code is open source, provide the link for the publicly available source code.","Has pre-deployment testing been conducted for this AI use case?
Practice: Complete AI Impact Assessment","Has an AI impact assessment been completed for this AI use case?
Practice: Complete AI Impact Assessment","What are the potential impacts of using the AI for this particular use case and how were they identified?
Subpractice: Complete AI Impact Assessment","Has as independent review of the AI use case been conducted?
Sub practice Complete AI Impact Assessment","Is there a process to conduct
ongoing monitoring to
identify any adverse impacts
to the performance and
security of the AI functionality, as well as to privacy, civil rights, and civil liberties?
Practice: Conduct Ongoing Monitoring for Performance and Potential Adverse Impacts","Has the agency established sufficient and periodic training for operators of the AI to interpret and act on the its output and managed associated risks?
Practice: Ensure Adequate Human Training and Assessment","Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?
Practice: Provide Additional Human Oversight, Intervention, and Accountability","Is there an established appeal process in the event that an impacted individual would like to appeal or contest the AI system�s outcome?
Practice: Offer Consistent Remedies or Appeals","What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?
Practice: Consult and Incorporate Feedback from End Users and the Public"
Design Your Facility,HHS/ACF,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,, ,,,,,,,,
Discover Financial Business Intelligence System (FBIS) Report Analysis (Sub-CAN Line Items),HHS/ACF,hhs.caio@hhs.gov,a) No,b) Pilot � The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Procurement & Financial Management,Agentic AI,"How can spend plans be more real-time and less manual to create and keep up to date?
The data used to create and monitor spend plans are spread across multiple out-of-the-box reports available in FBIS. Combing through them is time-intensive, making it more difficult to keep spend plans up to date in real-time. This task is especially challenging due to the unstandardized nature of sub-CAN (Congressional Appropriation Number) line item descriptions.","More efficient spend plan creation and monitoring.
This AI-enabled tool provides a resource for ACF budget managers to identify related line items across disparate reports in FBIS.","Suggested budget line items related to a user-provided description.
AI is used to both search for relevant data (CANs, categories, and sub-CAN line item descriptions) and aggregate information (e.g. supplier name, document number, total obligations, and user-provided projected costs) to create an up-to-date, real-time spend plan.",Apr-25,c) Developed with both contracting and in-house resources,Palantir,Yes,ACF Discover,RAG implementation using commercially-available LLMs and data from FBIS,N/A, No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
Grant Spend Health Analysis,HHS/ACF,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,, ,,,,,,,,
Structuring and Validating Completeness of Case Data Information,HHS/ACF,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,b) Presumed high-impact but determined not high-impact,"The use of AI is narrowly focused on extracting key data points from scanned notices. The outputs do not serve as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the 6 cases outlined in M-25-21, page 19.",Government Benefits Processing,Agentic AI,"How can referrals from the Department of Homeland Security (DHS) be more quickly reviewed for critical pieces of information about their parents and the reason for separation?
Since November 2024, when a minor is separated from their parent or legal guardian, the U.S. Customs and Border Protection (CBP) within DHS is required to send certain pieces of information about the parent/legal guardian in accordance with the Ms L vs ICE settlement. CBP send this information in a block of free text and sometimes do not include the required information. Historically, ACF's Office of Refugee Resettlement (ORR)�s tracking of required information has been done manually and inconsistently. ","More easily searchable and accurate data on family separations
Quicker validation of CBP compliance in essential data sharing for separated families, enabling faster follow-up as needed to receive any missing data points","Structured data asset of the critical data points needed about a separation case.
AI is used to conduct initial parsing of the data provided by CBP and highlight whether or not the required fields from the Ms L vs. ICE settlement are included and can therefore be updated into the child's profile in ORR's data system. ORR's Intakes Team does final review and in cases where data appears to be missing, the ORR Intakes Team reaches back out to CBP for that information.",Dec-24,c) Developed with both contracting and in-house resources,Palantir,Yes,ACF Horizon,No training or fine-tuning; we are using secure commercially available LLMs.,N/A,Yes,"To be posted on https://www.hhs.gov/pia/index.html, pending HHS OCIO action",k) None of the above,Yes,N/A, ,,,,,,,,
Structuring Notice of Concern Data,HHS/ACF,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,b) Presumed high-impact but determined not high-impact,"The use of AI is narrowly focused on extracting key data points from unstructured narratives and validating data completeness. The outputs do not serve as a principal basis for decisions or actions with legal, material, binding, or significant effect on any of the 6 cases outlined in M-25-21, page 19.",Government Benefits Processing,Computer Vision,"How can the Office of Refugee Resettlement (ORR) clear its backlog of notices of concern (NOC) and minimize backlog in the future?
Notice of Concern (NOC) forms contain critical information regarding safety of children who have left ORR's care. Some forms are received as scans, with the information not in machine-readable format. ORR receives hundreds of NOCs a day. Due to personnel shortage in the Prevention of Child Abuse and Neglect Team (PCAN) team responsible for reviewing and acting on NOCs, as of October 2024 there was a backlog of over 30,000 NOCs.","More effective and efficient review of NOCs
With AI-enabled structuring of data in NOCs received in scanned formats, ORR can reduce the large backlog that has accumulated.","Structured data parsed from the subset of NOCs that are scans of documents
AI is not used to triage NOCs, just to parse information from scanned documents. The parsed information is presented to the PCAN team alongside the original document for review and action.",Dec-24,c) Developed with both contracting and in-house resources,Palantir,Yes,ACF Horizon,No training or fine-tuning; we are using secure commercially available LLMs.,N/A,Yes,"To be posted on https://www.hhs.gov/pia/index.html, pending HHS OCIO action",k) None of the above,Yes,N/A, ,,,,,,,,
Unaccompanied Children Program Policy & Procedure Research Tool,HHS/ACF,hhs.caio@hhs.gov,a) No,b) Pilot � The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Service Delivery,Agentic AI,"How can the Office of Refugee Resettlement (ORR) research the laws, standards, policies, and procedures applicable to monitoring visits more quickly while maintaining thoroughness?
The Office of Refugee Resettlement (ORR) conducts monitoring visits at least monthly to ensure that care providers meet minimum standards for the care and timely release of unaccompanied children, and that they abide by all Federal and State laws and regulations, licensing and accreditation standards, ORR policies and procedures, and child welfare standards. If ORR monitoring finds a care provider to be out of compliance with requirements, ORR issues corrective action findings and requires the care provider to resolve the issue within a specified time frame. Compliance determination involves research into the various laws, standards, policies, and procedures.","Faster issuance of well-informed corrective action findings
The goal of the UC Program Policy & Research Tool is to speed up this process as children's health and well-being may be impacted before a corrective action finding is issued and the issue is resolved. The UC Program Policy & Procedure Research Tool speeds up research of relevant laws, standards, policies, and procedures content curated and approved by ORR's policy team. This research is one part of the process that informs ORR's monitoring team's decisions on whether corrective actions are needed and if so, what corrective actions.","Initial assessment of whether a care provider is in compliance with applicable laws, standards, policies, and procedures applicable to the care of unaccompanied children, with an explanation of evidence pulled from monitoring visit reports and the policy documents and accurate citations.
AI is not used to suggest corrective actions but rather support determination of whether care providers are in compliance.",Jul-25,c) Developed with both contracting and in-house resources,MIT Lincoln Labs,Yes,ACF Horizon,"RAG implementation using commercially-available LLMs and curated dataset of applicable laws, standards, policies, and procedures applicable to the care of unaccompanied children",N/A, No,"To be posted on https://www.hhs.gov/pia/index.html, pending HHS OCIO action",k) None of the above,Yes,N/A, ,,,,,,,,
Unaccompanied Children Process Model Digital Twins,HHS/ACF,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,, ,,,,,,,,
Analyzing Public Comments on Proposed Rule,HHS/ACF,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outreach List Segmentation,HHS/ACF,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ask HR Policy,HHS/ACF,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Human Resources,Generative AI,"How can ACF better support Executive Officers and Administrative Officers find relevant Human Resources (HR) policy?
HHS has over 70 HR policies that ACF Executive Officers/Administrative Officers must navigate when trying to find an answer to a question. ","Faster fact-finding on HHS's HR policies
Rather than clicking through multiple policies to try to identify the ones with relevant information to their question, Executive Officers/Administrative Officers can ask a question in natural language. ","Suggested answer to an HR-related question, with thought process and links to relevant section of official document(s).
Ask HR Policy provides a secure interface permissioned only to select ACF Executive Officers and Administrative Officers. Users type in questions about managing employees covered by the HR Policy Library, and Ask HR Policy provides a narrative of its �thought process� then suggests an answer based in the documentation, alongside links that take the user to the relevant section of the official document.",May-24,a)�Purchased from a vendor,Palantir,Yes,ACF Discover,RAG implementation using commercially-available LLMs and HHS's Official HR Policy Library,https://www.hhs.gov/about/agencies/asa/ohr/hr-library/index.html, No,"To be posted on https://www.hhs.gov/pia/index.html, pending HHS OCIO action",k) None of the above,Yes,N/A,,,,,,,,,
