uid,agency,bureau,name,stage,impact_status,description,topic_area,classification,vendor,contracting,withheld,operational_date,has_pii,demographic_features,justification,hi_assessment_completed,hi_testing_conducted,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
CFTC-003,CFTC,DCR,Stress Testing Scenarios with Deep Learning,Pre-deployment,unstated,,,,,,,,,[],,,,,,,,,,[]
CFTC-001,CFTC,DOD,Anomaly Detection for Data Quality,Deployed,unstated,,,,,,,,,[],,,,,,,,,,[]
CFTC-004,CFTC,MPD,MPD Entity Risk Modeling,Pilot,unstated,,,,,,,,,[],,,,,,,,,,[]
DHS-2705,DHS,CBP,Smartphone Information Forensics Triage,Pre-deployment,high-impact,Save worker time by providing an alternative to lengthy bitwise forensic device inspections through the application of an expedient triage tool; reduce the number of higher-level inspections.,Law Enforcement,NLP,,,,,,[],,,,,,,,,,[]
DHS-313,DHS,CBP,Advanced Analytics for X-ray Images (AAXI),Pre-deployment,high-impact,"AAXI aims to address the problem of anomaly detection in empty commercial vehicles entering the United States at land border ports of entry. The AI models achieve this goal by encoding past X-Ray images of vehicular border crossings in a semantically meaningful way and comparing the current crossing to detect differences amongst the images to identify anomalies. Benefits include enhancement of the capability of humans to consistently detect items of interest/concern present (and possibly concealed) in vehicles crossing into the United States, and increased clearance rate at border crossings so that vehicles operating safely and lawfully may pass through the border faster.",Law Enforcement,Computer Vision,,,,,,[],,,,,,,,,,[]
DHS-314,DHS,CBP,Advance RPM Maintenance Operating Reporter (ARMOR),Pre-deployment,high-impact,"ARMOR will shorten time to service/repair/maintenance of radiation portal monitors by two weeks. ARMOR will allow better distribution of resources (travel, spare parts, etc.) and expected cost decrease could be 25-50%. Through decreased outage time, and prediction of equipment degradation, ARMOR will increase radiological/nuclear (R/N) security on US borders.",Admin Functions,Classical ML,,,,,,[],,,,,,,,,,[]
DHS-194,DHS,CBP,AI Enabled Autonomous Underwater Vehicle,Pre-deployment,declassified,"Customs and Border Protection (CBP) intends to identify potential for Items of Interest (IoI) on vessels through the use of autonomous systems, which will allow CBP to more efficiently and safely increase shared situational awareness, improve mission planning and agent/officer safety, and reduce reactionary gaps.",Law Enforcement,Computer Vision,,,,,,[],"Computer Vision application onboard the ROV detects items of interest (IoI). The ROV also uses AI for collision avoidance. Once an IOI is detected, a bounding box is placed around the suspected IoI in the image and the user is notified of an alert of a potential IOI. The user then reviews the image and decides if a dive team is required for further inspection. The AI output does not serve as a principal basis for any decisions or actions.",,,,,,,,,[]
DHS-234,DHS,CBP,Relocatable Multi-Sensor System,Pre-deployment,declassified,"The system uses advanced sensor technology to differentiate valid items of interest (IOI), such as unmanned aircraft systems and humans, from other detections such as animals or other environmental objects. By integrating radar and other sensor data, the system filters out false alarms, ensuring more accurate identification of potential IOI. This capability enhances CBP's ability to focus on legitimate risks while minimizing the time spent on non-threatening activities, improving operational efficiency at border and security checkpoints.",Law Enforcement,Classical ML,,,,,,[],"Sensors and CUAS capabilities to support significant events. The AI combines sensor data from RF detections / radar/ and infrared / electro optical cameras. It combines all feeds and provides detections on the user interface back to users. Fully standalone and airgapped system. Looking to identify non-RF drones. System does not have any mitigation capability, system cannot autonomously mitigate an aircraft, it only detects and provides a digital track on the GUI/map for further user investigation. This use of AI does not serve as a principal basis for decision or action.",,,,,,,,,[]
DHS-2363,DHS,CBP,Anomaly Detection COV Structure,Pre-deployment,declassified,"CBP is seeking Anomaly Detection Algorithm (ADA) models capable of operating on CBP systems to enable rapid screening of commercially owned vehicles (CoVs). The objective is to develop a suite of algorithms that enhance CBP's Non-Intrusive Inspection (NII) image analysis, improving the detection of anomalies and contraband. These algorithms are intended to assist CBP officers in efficiently reviewing images, with a particular focus on identifying concealed contraband and anomalies in passenger vehicles and cargo conveyances. The implementation of ADA models will enhance human capability to consistently detect items of interest or concern, including concealed objects, in vehicles entering the United States. Additionally, these algorithms will enhance throughput efficiency at ports of entry, enabling the expedited processing of compliant vehicles while maintaining robust security standards.",Law Enforcement,Computer Vision,,,,,,[],"Computer Vision is intended to detect anomalies in non-intrusive inspection images. The images are then shared with officers who review the detections within the images (represented as a polygon). If the officer feels physical review is required, the vehicle is moved to secondary inspection for more thorough review by an officer. The output of the AI does not serve as a principal basis for a decision or action.",,,,,,,,,[]
DHS-2365,DHS,CBP,Anomaly Detection POV Structure,Pre-deployment,declassified,"CBP is seeking Anomaly Detection Algorithm (ADA) models capable of operating on CBP systems to enable rapid screening of passenger and cargo vehicles. The objective is to develop a suite of algorithms that enhance CBP's Non-Intrusive Inspection (NII) image analysis, improving the detection of anomalies and contraband. These algorithms are intended to assist CBP officers in efficiently reviewing images, with a particular focus on identifying concealed contraband and anomalies in passenger vehicles and cargo conveyances. The implementation of ADA models will enhance human capability to consistently detect items of interest or concern, including concealed objects, in vehicles entering the United States. Additionally, these algorithms will enhance throughput efficiency at ports of entry, enabling the expedited processing of compliant vehicles while maintaining robust security standards.",Law Enforcement,Computer Vision,,,,,,[],"Computer Vision is intended to detect anomalies in non-intrusive inspection images. The images are then shared with officers who review the detections within the images (represented as a polygon). If the officer feels physical review is required, the vehicle is moved to secondary inspection for more thorough review by an officer. The output of the AI does not serve as a principal basis for a decision or action.",,,,,,,,,[]
DHS-2565,DHS,CBP,CBP Common AI Service(CCAIS) Image Analysis and Data Correlation,Pre-deployment,declassified,"The AI’s intended purpose is to solve the challenge of efficiently monitoring typically unoccupied or restricted environments for unauthorized human or vehicle presence. It automates the initial detection of such activities, which can be resource-intensive and prone to delays when done manually. The expected benefits include enhanced security of sensitive areas, increased operational efficiency through automation, and the ability to scale oversight and respond more effectively to potential incidents, and better protection of public assets, sensitive environments, and critical infrastructure, alongside more efficient use of public resources in security operations.",Law Enforcement,Generative AI,,,,,,[],"This use case is not yet live in production, and the current ATT only covers for within the CCAIS platform. The use case needs further review, prior to the ATT for ICAD integration. The model can identify people, animals, and vehicles as well as extract license plate information, and we will need to determine how exactly the extracted information will be used for operations if it is determined to be feasible. The AI inventory team will need to review once the AI Use Case is fully defined.",,,,,,,,,[]
DHS-2568,DHS,CBP,Non-intrusive vessel and object detection tool (Tethered Aerostat Radar System (TARS)),Pre-deployment,declassified,Utilizing AI to automate maritime object detection with real-time outputs to streamline data flows intended to increase efficiency of existing resources and minimize mission critical decision-making timeline.,Law Enforcement,Computer Vision,,,,,,[],"The AI will analyze images from the sensors to determine what the item is in the image (e.g. Vessel). The image location will also be correlated with any publicly available AIS (Automated Identified System) data for maritime traffic. AIS is used as a filtering mechanism in most cases to filter out legitimate traffic. User is provided with information for detected objects lacking AIS signal. After the alert of a detection, a trained CBP agent or user, reviews the image to identify and classify the activity taking place. This use of AI does not serve as the principal basis for decisions or actions.",,,,,,,,,[]
DHS-317,DHS,CBP,RAPTOR (Rapid Tactical Operations Reconnaissance),Pre-deployment,declassified,"RAPTOR will significantly increase domain awareness and the agency’s ability to engage in intelligence-driven operations. The AI capability acts as a force multiplier and saves personnel from analyzing video feed from a stationary camera and manually noting all boat identifiers, improving their ability to respond quickly to potential threats and gather critical intelligence for law enforcement and border control operations.",Law Enforcement,Computer Vision,,,,,,[],"The AI system processes data from radar, infrared sensors, and video surveillance to detect and track suspicious activities along U.S. borders. By incorporating AI-powered vessel registration, aircraft tail number, license plate, and object detection RAPTOR significantly boosts domain awareness. If the OCR can capture vessel or license plate information, that information is run through CBP Super Query and if derogatory information is returned or other information from the imagery (high number of gas cans in the image) the information is sent through SMS or email to the field for response to the potential activity. Agents log into RAPTOR and reviews for accuracy/validity of image to avoid any investigation of the wrong boat. Neither the AI or output of AI serves as a principal basis for a decision or action. Human review takes place prior to any final decision to act, and then personal interaction leads to any follow-up decisions.",,,,,,,,,[]
